frame,brightness,contrast,sharpness
frame_001585.jpg,102.99870300292969,57.7955436706543,7.043708801269531
frame_001584.jpg,102.74491119384766,57.971134185791016,7.048240661621094
frame_001587.jpg,103.6016845703125,57.621578216552734,7.023611068725586
frame_001586.jpg,103.1956787109375,57.58937454223633,7.015568733215332
frame_001589.jpg,103.94782257080078,57.44502639770508,6.9806389808654785
frame_001588.jpg,103.60006713867188,57.622825622558594,7.0251688957214355
frame_001591.jpg,104.32295989990234,57.293495178222656,6.909358501434326
frame_001590.jpg,103.94481658935547,57.446895599365234,6.983133792877197
frame_001593.jpg,106.53426361083984,56.381412506103516,6.761812210083008
frame_001594.jpg,106.85479736328125,55.667694091796875,6.655801773071289
frame_001592.jpg,105.08772277832031,57.23426818847656,6.883535385131836
frame_001595.jpg,106.89682006835938,55.637210845947266,6.656012535095215
frame_001596.jpg,107.17865753173828,55.21492004394531,6.640508651733398
frame_001598.jpg,107.1515884399414,55.20991134643555,6.651724815368652
frame_001597.jpg,107.15151977539062,55.21015930175781,6.65064811706543
frame_001600.jpg,107.10200500488281,55.173641204833984,6.65410041809082
frame_001599.jpg,107.10289764404297,55.174224853515625,6.652091026306152
frame_001602.jpg,107.33219146728516,55.192138671875,6.625469207763672
frame_001601.jpg,107.3338623046875,55.190025329589844,6.6219987869262695
frame_001603.jpg,107.93978118896484,55.41853713989258,6.598639011383057
frame_001604.jpg,108.26025390625,55.56913375854492,6.630263328552246
frame_001607.jpg,108.26505279541016,55.58941650390625,6.642312049865723
frame_001606.jpg,108.25828552246094,55.590797424316406,6.64725399017334
frame_001605.jpg,108.25929260253906,55.59083557128906,6.64412784576416
frame_001608.jpg,108.2647705078125,55.590415954589844,6.644238471984863
frame_001609.jpg,109.82714080810547,56.37596893310547,6.587512016296387
frame_001611.jpg,115.33831024169922,58.70149612426758,6.412264823913574
frame_001610.jpg,112.38402557373047,57.27591323852539,6.448042869567871
frame_001613.jpg,114.35757446289062,60.195735931396484,6.319421768188477
frame_001612.jpg,115.33561706542969,58.70116424560547,6.423707008361816
frame_001615.jpg,114.16828918457031,60.62640380859375,6.01103401184082
frame_001614.jpg,114.21106719970703,60.11471939086914,6.060839653015137
frame_001617.jpg,114.9762191772461,60.348575592041016,6.140211582183838
frame_001616.jpg,114.1633529663086,60.628414154052734,6.017633438110352
frame_001619.jpg,115.35955047607422,61.018062591552734,6.27953577041626
frame_001621.jpg,114.06056213378906,60.16769027709961,5.722844123840332
frame_001618.jpg,114.97228240966797,60.351226806640625,6.1513214111328125
frame_001620.jpg,115.35757446289062,61.01983642578125,6.2869157791137695
frame_001622.jpg,114.06037139892578,60.17300033569336,5.733795166015625
frame_001623.jpg,114.39307403564453,60.614200592041016,5.829961776733398
frame_001625.jpg,111.89540100097656,63.79456329345703,6.059826374053955
frame_001624.jpg,114.39156341552734,60.615997314453125,5.839604377746582
frame_001627.jpg,111.04666900634766,65.08207702636719,6.0892109870910645
frame_001628.jpg,110.32777404785156,62.380374908447266,5.894749164581299
frame_001629.jpg,111.8258056640625,61.17119216918945,5.9428510665893555
frame_001626.jpg,111.89408874511719,63.79602813720703,6.0694780349731445
frame_001631.jpg,113.34609985351562,61.05659866333008,6.170872688293457
frame_001630.jpg,111.82417297363281,61.17404556274414,5.952682018280029
frame_001633.jpg,114.3659896850586,60.54703903198242,6.057785511016846
frame_001632.jpg,113.34367370605469,61.05968475341797,6.183168411254883
frame_001634.jpg,113.71337890625,60.02963638305664,6.082662582397461
frame_001635.jpg,112.1102294921875,59.252960205078125,6.168349266052246
frame_001636.jpg,111.52127838134766,59.250938415527344,6.2308855056762695
frame_001637.jpg,111.58087158203125,59.46038055419922,6.281055450439453
frame_001638.jpg,111.57875061035156,59.460411071777344,6.2878618240356445
frame_001641.jpg,111.57526397705078,60.444664001464844,6.4328718185424805
frame_001640.jpg,111.5709457397461,60.28508377075195,6.3914337158203125
frame_001642.jpg,111.75367736816406,60.63868713378906,6.4509782791137695
frame_001639.jpg,111.57395935058594,60.15809631347656,6.371537208557129
frame_001643.jpg,111.8186264038086,60.93574523925781,6.542198657989502
frame_001644.jpg,111.88356018066406,61.19678497314453,6.530502796173096
